Subject,CERiT,Simbad,ASAS-SN Photometry
24906411,https://wasp.cerit-sc.cz/search?objid=J004911.30%2B382332.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A49%3A11.30+%2B38%3A23%3A32.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A49%3A11.30&dec=%2B38%3A23%3A32.1&radius=2
24690917,https://wasp.cerit-sc.cz/search?objid=J005711.33%2B151434.7&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A57%3A11.33+%2B15%3A14%3A34.7&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A57%3A11.33&dec=%2B15%3A14%3A34.7&radius=2
22113261,https://wasp.cerit-sc.cz/search?objid=J001500.69%2B495136.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A15%3A00.69+%2B49%3A51%3A36.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A15%3A00.69&dec=%2B49%3A51%3A36.3&radius=2
24914940,https://wasp.cerit-sc.cz/search?objid=J005049.80%2B373508.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A50%3A49.80+%2B37%3A35%3A08.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A50%3A49.80&dec=%2B37%3A35%3A08.0&radius=2
24624256,https://wasp.cerit-sc.cz/search?objid=J003536.53-404109.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A35%3A36.53+-40%3A41%3A09.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A35%3A36.53&dec=-40%3A41%3A09.5&radius=2
24678528,No match,No match,No match
24494538,https://wasp.cerit-sc.cz/search?objid=J124307.08-443740.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12%3A43%3A07.08+-44%3A37%3A40.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=12%3A43%3A07.08&dec=-44%3A37%3A40.0&radius=2
24581647,https://wasp.cerit-sc.cz/search?objid=J002717.90%2B320155.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A27%3A17.90+%2B32%3A01%3A55.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A27%3A17.90&dec=%2B32%3A01%3A55.4&radius=2
24583087,https://wasp.cerit-sc.cz/search?objid=J002835.54%2B373407.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A28%3A35.54+%2B37%3A34%3A07.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A28%3A35.54&dec=%2B37%3A34%3A07.0&radius=2
24900049,https://wasp.cerit-sc.cz/search?objid=J004757.06%2B114223.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A47%3A57.06+%2B11%3A42%3A23.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A47%3A57.06&dec=%2B11%3A42%3A23.5&radius=2
